"company","companyNumber","directors","addressLine1","addressLine2","locality","region","postcode","siteAddress","planningReference","localAuthority","units","gdv","loanAmount"
"ARNOLD AND SONS LANDSCAPING LTD LTD","17158885","Tom Arnold","Medhurst Barn","Cranbrook Road","Biddenden","","TN27 8DY","TIMBERDOWN ADJACENT TO 1, JACKSON ROAD, BROMLEY, BR2 8NL","26/02197/FPA","London Borough of Bromley","2","1276000","829000"
"G & O SECURITIES LIMITED","02959865","Christopher O'Dell","60 Kingston Road","","New Malden","Surrey","KT3 3JG","Locksley Court 24 - 26 Archers Road Southampton SO15 2LE","26/00744/PA2A","Southampton City Council","6","960000","624000"
"KT1 INVESTMENTS LTD","15775745","Balbinder Battu; Sandeep Gaur","East Quay Kite Hill","Wootton Bridge","Ryde","Isle Of Wight","PO33 4LA","76 Anglesea Road Southampton","26/00809/PA56","Southampton City Council","5","800000","520000"
"SEAONGOLD LTD","15784114","Yuan Lin","L C S House","44 Worship Street","London","","EC2A 2EA","123-125 Above Bar Street Southampton SO14 7FH","26/00803/DIS","Southampton City Council","5","816000","530000"
