"company","companyNumber","directors","addressLine1","addressLine2","locality","region","postcode","siteAddress","planningReference","localAuthority","units","gdv","loanAmount"
"LONDON SQUARE DEVELOPMENTS LIMITED","07160957","Talal Al Dhiyebi; Scott Brown; David Dudley; Jonathan Emery; Mark Evans; Faisal Falaknaz; David Kierney; Adam Lawrence; Joanna Mcdonagh; Damir Mesic","One","York Road","Uxbridge","Middlesex","UB8 1RN","Land Bounded By Ascot Fire Station Station Hill And West of Hermitage Parade And South of High Street Ascot SL5 7HF","26/01722/CONDIT","Royal Borough of Windsor & Maidenhead","101","56150000","36498000"
"GRAVESHAM COMMUNITY INVESTMENT PARTNERSHIP LLP","OC445300","Gravesham Council; Hill Limited","Gunpowder Mill Powdermill Lane","Waltham Abbey","Essex","","EN9 1BN","Milton Place Car Park Gravesend Kent","20250167","Gravesham Borough Council","76","31920000","20748000"
"GLEESON HOMES SOUTHERN LIMITED","01530449","Stefan Allanson","6 Europa Court","Sheffield Business Park","Sheffield","","S9 1XE","Land North Of Nostell Way Bridlington East Riding Of Yorkshire YO16 6FY","25/02923/LOBVAR","East Riding of Yorkshire Council","48","13650000","8873000"
"NEWSOME HOMES LTD","15455192","Gareth Hughes; Richard Newsome","Plantation View The Vownog","Sychdyn","Mold","","CH7 6EW","St Cuthberts Clearance Area Land Between Askew Road Gateshead","DC/24/01060/FUL","Gateshead Council","85","13388000","8702000"
"PROPERTY GROUP CONSTRUCTION LTD","15358348","Ion-Alexandru Iorga","22 Edward Road","","Bedford","","MK42 9DR","First, Second, Third And Fourth Floors Romy House 163 - 167 Kings Road Brentwood Essex CM14 4EG","25/01200/PNCOU","Brentwood Borough Council","22","11000000","7150000"
